YEAR,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,YIELD
0,18.325709446624728,24.840126374542287,23.295188092958874,24.130256490074586,21.13309201440682,23.991796497746066,22.6530767274205,19.348452180848575,16.401016653123033,1.0273912103636484,1.228815992490772,1.324273456554387,2.3094973674040262,2.9175698864468016,0.7698689864506609,0.907156983602469,3.401885413720096,1.0373168901108785,10.51
1,18.457140461696504,20.501429841625892,22.691300083471013,27.260250680892323,27.791137654121684,24.8140656601559,23.956368520513745,19.60229044319704,13.253546738866318,0.14319074481437283,0.9250054026412131,2.751680429208009,1.1965596988833904,0.7840464518125713,1.505208849143425,0.24075677435477494,1.617602612977605,1.8182094984439487,6.61
2,16.874268446632797,22.28011452461825,21.162546377976295,25.89632754026298,25.087741766683642,24.743886750194214,24.167741751466927,19.94052600197675,17.074695097041893,0.9426012755709798,1.811827086937172,2.923050672425412,0.3847163289506844,2.876004023226961,1.5354510777609183,1.5099376520009546,1.652337876413253,0.27935239248756594,6.86
3,17.10278556599611,18.547797468625703,20.64056412238734,27.622804187272983,24.076423832284625,20.609004863906726,22.0737329918065,15.780266671632353,16.12911015836147,3.6400149629726712,0.95647387649872,2.241501883503465,1.8938300375907602,0.18926380519183197,2.049274691377732,3.795689871932857,0.40444746786899827,1.4681721606461193,5.32
4,19.69347262575265,20.14537322319226,20.46713427161375,24.132816087135872,29.392684319242573,26.25070982421129,25.5473272909102,24.123738566322164,14.200615965309536,1.1911669426935936,0.04955659948926881,0.3304404668849376,2.860206593979692,0.39906311449837084,0.5064966956244279,1.7000473366535345,0.21683737642350082,2.1665991691512976,6.32
5,19.270327203309265,19.85534280206548,22.419602613796464,22.544178186263558,25.850836412056964,25.152373105380374,22.76759319512316,20.256196494019182,14.672091702737346,0.2353940725320543,1.954578319431405,0.6904261139040583,2.906684519663004,1.0070860257405079,0.6851286924467156,2.1384787372026635,2.093338221247337,2.122631306338824,6.35
6,15.776531586215986,19.943839657619133,22.11476809901916,26.16556314265615,24.170113787752662,22.28231859421512,25.702215294172998,22.466376568886616,15.771853364823109,0.6040314969227346,0.793380201388586,1.1589493581295653,0.2745389153252976,2.662746896275644,1.2346196221140544,2.3093882482571844,2.145758325866974,1.9545213735657399,8.88
7,15.739346193373862,20.21237197430734,18.395880354599772,22.413158597307536,23.233044208370053,22.70427711360189,24.717743895844333,19.27891647794638,13.362634479787319,1.2481181129340013,2.476089816981296,2.512421875335861,3.1979379464513644,2.9281916973810005,3.2510477066044823,0.2742341928034296,0.4393329108703255,1.0302515128751735,7.1
8,17.06316450098531,20.211682766074816,25.24766656653516,24.23103688019866,23.002184370507145,23.37434852973157,21.714734024482684,20.462094558972613,13.150591463813852,2.825567319626193,1.5464310654500069,1.1901981447329955,1.9277961588784513,2.1700496061349654,3.677181824443651,0.2105279091604698,1.9396883691827367,2.0766620618786846,8.92
9,16.891134812899264,19.91100431277193,23.523370359798363,25.636293750226564,24.435289638029904,25.021223399191804,21.273116136987607,17.603288722059368,15.084433686019237,2.505161187742354,0.04600498793296134,0.847042218042507,1.4599723002473244,4.528823709442976,0.9557637893580372,0.7813056781761644,1.0428678808068308,2.257042220398715,8.92
10,21.249894234282973,19.4085643896313,23.736948980307403,23.553687750943535,25.805283586839284,24.240471739530644,27.73899158359479,19.355214344934733,13.381017029202605,0.5876209268235355,0.47314157601717144,0.8164584788033586,0.5739140118638822,0.174179303322591,2.2366413362946647,0.17540803443865374,2.514700542333817,2.1530896568335645,6.04
11,18.169543738157167,21.263037603476675,19.56080823894953,25.195555196277,21.47372945312156,25.62730892059986,22.96747538707913,19.244731473821187,14.588946144682572,0.11576600271351348,1.4766452149159222,1.1627955828912373,2.4460357094132896,3.005885770540364,5.489460363508641,2.1529830628490165,2.7717492472195913,1.7701994955061258,8.82
